C/A,UNIT,SCP,DATEn,TIMEn,DESCn,ENTRIESn,EXITSn
A002,R051,02-03-00,05-22-11,08:00:00,REGULAR,001297145,004623370,05-22-11,12:00:00,REGULAR,001297173,004623572,05-22-11,16:00:00,REGULAR,001297245,004623834,05-22-11,20:00:00,REGULAR,001297324,004624131,05-23-11,00:00:00,REGULAR,001297364,004624238,05-23-11,04:00:00,REGULAR,001297371,004624242,05-23-11,08:00:00,REGULAR,001297387,004624466,05-23-11,12:00:00,REGULAR,001297447,004625278              
A002,R051,02-03-00,05-23-11,16:00:00,REGULAR,001297560,004625627,05-23-11,20:00:00,REGULAR,001297813,004626186,05-24-11,00:00:00,REGULAR,001297887,004626327,05-24-11,04:00:00,REGULAR,001297891,004626333,05-24-11,08:00:00,REGULAR,001297908,004626605,05-24-11,12:00:00,REGULAR,001297969,004627418,05-24-11,16:00:00,REGULAR,001298080,004627823,05-24-11,20:00:00,REGULAR,001298370,004628336              
A002,R051,02-03-00,05-25-11,00:00:00,REGULAR,001298448,004628482,05-25-11,04:00:00,REGULAR,001298453,004628493,05-25-11,08:00:00,REGULAR,001298464,004628753,05-25-11,12:00:00,REGULAR,001298516,004629543,05-25-11,16:00:00,REGULAR,001298627,004629936,05-25-11,20:00:00,REGULAR,001298879,004630553,05-26-11,00:00:00,REGULAR,001298974,004630717,05-26-11,04:00:00,REGULAR,001298980,004630724              
A002,R051,02-03-00,05-26-11,08:00:00,REGULAR,001298997,004630986,05-26-11,12:00:00,REGULAR,001299049,004631815,05-26-11,16:00:00,REGULAR,001299169,004632234,05-26-11,20:00:00,REGULAR,001299449,004632821,05-27-11,00:00:00,REGULAR,001299549,004632979,05-27-11,04:00:00,REGULAR,001299561,004632996,05-27-11,08:00:00,REGULAR,001299575,004633228,05-27-11,12:00:00,REGULAR,001299624,004633955              
A002,R051,02-03-00,05-27-11,16:00:00,REGULAR,001299786,004634423,05-27-11,20:00:00,REGULAR,001300006,004634898                                                                                                                                                                                                                                                                                                  
A002,R051,02-03-01,05-21-11,00:00:00,REGULAR,002870403,004424936,05-21-11,04:00:00,REGULAR,002870438,004424975,05-21-11,08:00:00,REGULAR,002870465,004425062,05-21-11,12:00:00,REGULAR,002870582,004425359,05-21-11,16:00:00,REGULAR,002870827,004425762,05-21-11,20:00:00,REGULAR,002871088,004426224,05-22-11,00:00:00,REGULAR,002871314,004426453,05-22-11,04:00:00,REGULAR,002871384,004426499              
A002,R051,02-03-01,05-22-11,08:00:00,REGULAR,002871407,004426542,05-22-11,12:00:00,REGULAR,002871498,004426772,05-22-11,16:00:00,REGULAR,002871715,004427105,05-22-11,20:00:00,REGULAR,002871934,004427458,05-23-11,00:00:00,REGULAR,002872105,004427593,05-23-11,04:00:00,REGULAR,002872114,004427610,05-23-11,08:00:00,REGULAR,002872165,004427849,05-23-11,12:00:00,REGULAR,002872345,004428625              
A002,R051,02-03-01,05-23-11,16:00:00,REGULAR,002872616,004429017,05-23-11,20:00:00,REGULAR,002873168,004429544,05-24-11,00:00:00,REGULAR,002873392,004429722,05-24-11,04:00:00,REGULAR,002873400,004429735,05-24-11,08:00:00,REGULAR,002873457,004430004,05-24-11,12:00:00,REGULAR,002873615,004430774,05-24-11,16:00:00,REGULAR,002873907,004431196,05-24-11,20:00:00,REGULAR,002874537,004431698              
A002,R051,02-03-01,05-25-11,00:00:00,REGULAR,002874768,004431889,05-25-11,04:00:00,REGULAR,002874791,004431905,05-25-11,08:00:00,REGULAR,002874842,004432161,05-25-11,12:00:00,REGULAR,002874985,004432931,05-25-11,16:00:00,REGULAR,002875284,004433326,05-25-11,20:00:00,REGULAR,002875895,004433894,05-26-11,00:00:00,REGULAR,002876150,004434094,05-26-11,04:00:00,REGULAR,002876182,004434115              
A002,R051,02-03-01,05-26-11,08:00:00,REGULAR,002876234,004434401,05-26-11,12:00:00,REGULAR,002876386,004435208,05-26-11,16:00:00,REGULAR,002876699,004435637,05-26-11,20:00:00,REGULAR,002877308,004436213,05-27-11,00:00:00,REGULAR,002877590,004436395,05-27-11,04:00:00,REGULAR,002877616,004436416,05-27-11,08:00:00,REGULAR,002877655,004436690,05-27-11,12:00:00,REGULAR,002877818,004437366              
