"출하" "수입"
"1" 52.33 52.11
"2" 51.98 51.9
"3" 51.72 51.78
"4" 51.04 51.89
"5" 51.9 51.6
"6" 51.92 51.87
"7" 51.96 52.07
"8" 51.9 51.76
"9" 52.14 51.82
"10" 52.02 51.91
