X	Y
0.8 	1.0 
1.8 	0.8 
1.0 	1.6 
0.1 	2.6 
0.9 	1.3 
1.7 	1.1 
1.0 	2.4 
1.4 	1.8 
0.9 	2.5 
1.2 	1.4 
0.5 	1.9 
	2.0 
	1.2 
