id,sex1,sex2,job1,job2,job3,job4
49,0,1,0,0,0,1
53,0,1,0,0,0,1
1,0,1,0,0,0,1
70,0,1,0,0,0,1
72,1,0,0,0,1,0
78,0,1,0,0,0,1
85,0,1,0,0,0,1
97,0,1,0,0,0,1
98,0,1,0,0,1,0
102,0,1,0,0,0,1
113,0,1,0,0,1,0
115,0,1,0,0,1,0
120,0,1,0,0,0,1
130,0,1,0,0,1,0
133,0,1,0,1,0,0
142,0,1,0,0,1,0
146,0,1,0,0,1,0
160,0,1,0,0,1,0
162,0,1,0,0,0,1
169,0,1,0,0,1,0
170,1,0,0,0,1,0
171,0,1,0,1,0,0
178,0,1,0,1,0,0
184,0,1,0,0,1,0
186,0,1,0,0,0,1
191,0,1,0,0,0,1
194,0,1,0,1,0,0
199,0,1,0,0,0,1
201,0,1,0,0,0,1
203,0,1,0,0,1,0
209,0,1,0,0,1,0
211,0,1,0,0,0,1
214,0,1,0,0,0,1
235,0,1,0,1,0,0
250,0,1,0,1,0,0
257,0,1,0,0,0,1
258,0,1,0,0,0,1
263,0,1,0,0,1,0
264,0,1,0,0,1,0
265,0,1,0,0,1,0
273,0,1,0,0,1,0
277,0,1,0,0,0,1
281,0,1,0,0,1,0
282,0,1,0,0,1,0
283,0,1,0,0,0,1
287,0,1,0,0,0,1
298,0,1,0,1,0,0
303,0,1,0,0,1,0
308,0,1,0,0,0,1
314,0,1,0,0,1,0
322,1,0,0,0,0,1
329,1,0,0,0,0,1
338,1,0,0,0,0,1
339,0,1,0,0,0,1
349,0,1,0,0,0,1
352,0,1,0,0,0,1
363,0,1,0,0,0,1
368,0,1,0,0,1,0
371,0,1,0,0,1,0
375,0,1,0,0,1,0
381,0,1,0,1,0,0
384,0,1,0,0,0,1
387,0,1,0,0,0,1
391,0,1,0,0,1,0
396,0,1,0,0,0,1
400,0,1,0,0,1,0
405,0,1,0,1,0,0
406,0,1,0,0,1,0
416,1,0,0,0,0,1
423,0,1,0,0,1,0
424,0,1,0,0,0,1
427,0,1,0,0,1,0
429,0,1,0,0,1,0
461,0,1,0,0,0,1
466,0,1,0,0,1,0
467,1,0,0,0,0,1
468,0,1,0,0,1,0
471,0,1,0,0,0,1
482,0,1,0,0,0,1
488,0,1,0,0,0,1
489,0,1,0,0,0,1
492,0,1,0,0,1,0
496,0,1,0,0,0,1
497,0,1,0,1,0,0
498,1,0,0,0,0,1
499,0,1,0,0,1,0
501,0,1,0,0,0,1
507,0,1,0,0,0,1
508,0,1,0,0,0,1
511,0,1,0,0,0,1
516,1,0,0,0,0,1
517,0,1,0,0,0,1
530,0,1,0,0,1,0
532,0,1,0,0,1,0
544,0,1,0,0,1,0
554,0,1,0,0,0,1
557,0,1,0,1,0,0
577,0,1,0,0,0,1
579,0,1,0,1,0,0
583,0,1,0,0,0,1
588,0,1,0,0,0,1
593,1,0,0,0,0,1
594,0,1,0,0,0,1
598,0,1,0,0,0,1
599,0,1,0,0,1,0
606,0,1,0,0,1,0
609,0,1,0,0,0,1
611,0,1,0,0,0,1
617,0,1,0,0,0,1
624,0,1,0,0,1,0
626,0,1,0,0,0,1
628,0,1,0,0,1,0
635,0,1,0,0,0,1
638,0,1,0,0,1,0
642,0,1,0,0,0,1
647,0,1,0,0,1,0
648,0,1,0,0,1,0
656,0,1,0,1,0,0
657,0,1,0,0,1,0
663,0,1,0,0,1,0
670,0,1,0,0,0,1
674,0,1,0,0,0,1
675,0,1,0,0,1,0
678,0,1,0,0,0,1
680,0,1,0,0,0,1
684,0,1,0,0,0,1
685,0,1,0,0,0,1
687,1,0,1,0,0,0
694,0,1,0,0,0,1
698,1,0,0,1,0,0
704,0,1,0,0,0,1
708,0,1,0,0,0,1
715,0,1,0,0,1,0
717,0,1,0,0,0,1
719,0,1,0,0,1,0
720,0,1,0,0,0,1
725,0,1,0,0,1,0
728,0,1,0,0,1,0
729,0,1,0,1,0,0
739,0,1,0,0,1,0
741,0,1,0,0,0,1
742,0,1,0,0,1,0
746,0,1,0,0,1,0
748,0,1,0,0,1,0
751,0,1,0,0,0,1
752,0,1,0,0,1,0
754,0,1,0,0,1,0
756,0,1,0,0,1,0
759,0,1,0,0,1,0
761,0,1,0,1,0,0
762,0,1,0,1,0,0
765,0,1,0,0,0,1
766,1,0,0,1,0,0
769,0,1,0,0,1,0
779,0,1,0,1,0,0
781,0,1,0,0,0,1
785,0,1,0,0,1,0
792,0,1,0,0,1,0
795,0,1,0,0,1,0
796,0,1,0,0,1,0
797,0,1,0,0,1,0
806,0,1,0,1,0,0
808,0,1,0,0,1,0
814,0,1,0,0,0,1
816,0,1,0,0,0,1
820,1,0,0,0,0,1
823,0,1,0,1,0,0
824,0,1,0,0,1,0
826,0,1,0,0,1,0
828,0,1,0,0,1,0
829,0,1,0,0,1,0
832,0,1,0,0,1,0
843,0,1,0,0,0,1
845,1,0,0,0,1,0
851,0,1,0,0,1,0
852,0,1,0,0,1,0
853,0,1,0,0,1,0
860,0,1,0,0,0,1
