"","id","time","c","sex1","sex2","job1","job2","job3","job4"
"1",1,1,9,0,1,0,0,0,1
"2",1,2,461,0,1,0,0,0,1
"3",1,3,10,0,1,0,0,0,1
"4",1,4,121,0,1,0,0,0,1
"5",1,5,70,0,1,0,0,0,1
"6",1,6,230,0,1,0,0,0,1
"7",1,7,318,0,1,0,0,0,1
"8",1,8,36,0,1,0,0,0,1
"9",1,9,624,0,1,0,0,0,1
"10",1,10,13,0,1,0,0,0,1
"11",1,11,1679,0,1,0,0,0,1
"12",1,12,273,0,1,0,0,0,1
"13",1,13,936,0,1,0,0,0,1
"14",1,14,372,0,1,0,0,0,1
"15",1,15,119,0,1,0,0,0,1
"16",1,16,58,0,1,0,0,0,1
"17",1,17,39,0,1,0,0,0,1
"18",1,18,152,0,1,0,0,0,1
"19",1,19,227,0,1,0,0,0,1
"20",1,20,403,0,1,0,0,0,1
"21",1,21,82,0,1,0,0,0,1
"22",1,22,40,0,1,0,0,0,1
"23",1,23,201,0,1,0,0,0,1
"24",1,24,2736,0,1,0,0,0,1
"25",1,25,155,0,1,0,0,0,1
"26",1,26,681,0,1,0,0,0,1
"27",1,27,143,0,1,0,0,0,1
"28",1,28,59,0,1,0,0,0,1
"29",1,29,763,0,1,0,0,0,1
"30",1,30,70,0,1,0,0,0,1
"31",1,31,25,0,1,0,0,0,1
"32",1,32,749,0,1,0,0,0,1
"33",1,33,100,0,1,0,0,0,1
"34",1,34,188,0,1,0,0,0,1
"35",1,35,27,0,1,0,0,0,1
"36",1,36,37,0,1,0,0,0,1
"37",70,1,1906,0,1,0,0,0,1
"38",70,2,142,0,1,0,0,0,1
"39",70,3,21,0,1,0,0,0,1
"40",70,4,6,0,1,0,0,0,1
"41",70,5,24,0,1,0,0,0,1
"42",70,6,3,0,1,0,0,0,1
"43",70,7,63,0,1,0,0,0,1
"44",70,8,144,0,1,0,0,0,1
"45",70,9,6,0,1,0,0,0,1
"46",70,10,12,0,1,0,0,0,1
"47",70,11,6,0,1,0,0,0,1
"48",70,12,6,0,1,0,0,0,1
"49",70,13,43,0,1,0,0,0,1
"50",70,14,168,0,1,0,0,0,1
"51",70,15,38,0,1,0,0,0,1
"52",72,1,28,1,0,0,0,1,0
"53",72,2,12,1,0,0,0,1,0
"54",72,3,16,1,0,0,0,1,0
"55",72,4,3,1,0,0,0,1,0
"56",72,5,569,1,0,0,0,1,0
"57",72,6,106,1,0,0,0,1,0
"58",72,7,40,1,0,0,0,1,0
"59",72,8,794,1,0,0,0,1,0
"60",72,9,207,1,0,0,0,1,0
"61",72,10,68,1,0,0,0,1,0
"62",72,11,37,1,0,0,0,1,0
"63",72,12,43,1,0,0,0,1,0
"64",72,13,19348,1,0,0,0,1,0
"65",72,14,145,1,0,0,0,1,0
"66",72,15,77,1,0,0,0,1,0
"67",72,16,18,1,0,0,0,1,0
"68",72,17,297,1,0,0,0,1,0
"69",72,18,80,1,0,0,0,1,0
"70",72,19,28,1,0,0,0,1,0
"71",72,20,54,1,0,0,0,1,0
"72",72,21,33,1,0,0,0,1,0
"73",72,22,58,1,0,0,0,1,0
"74",72,23,16,1,0,0,0,1,0
"75",72,24,4,1,0,0,0,1,0
"76",72,25,43,1,0,0,0,1,0
"77",72,26,22,1,0,0,0,1,0
"78",72,27,1271,1,0,0,0,1,0
"79",72,28,84,1,0,0,0,1,0
